""	"Lab_ID"	"year"	"vineyard"	"row_ID"	"unique_rowID"	"treatment"	"cover_type"	"variety"	"row_disturbance"	"plot_disturbance"	"green"	"dist_type"	"year."	"SOM_perc"	"CN"	"N_perc"	"Cu_mg.kg"	"pH"	"total_C_perc"	"clay"	"sand"	"plant_cover"	"plant_spec"	"plant_simp"	"plant_shannon"	"biomass"	"basal_res"	"sir"	"cmic"	"h2o_perc"	"wloss_g_perc"	"wlossr_perc"	"k"	"latitude"	"longitude"	"elevation"	"age_trtm"	"Cu_fungapp"	"fung_app"
"218-1_16"	"218.1_16"	"2016"	18	218	"218_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"chem"	2016	4.0248	-0.656345208780097	0.235	81.52	6.69	2.34	3.987681833	24.95609667	48.25	7	0.29535353	0.675990382	3.1967	3.823152429	19.93281089	530.2127696	20.07600123	54.02816079	24.01349847	NA	46.26129	7.505756	622.1	10	NA	3
"218-2_16"	"218.2_16"	"2016"	18	218	"218_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"chem"	2016	4.0248	-0.656345208780097	0.235	81.52	6.69	2.34	3.987681833	24.95609667	48.25	7	0.29535353	0.675990382	3.1967	3.823152429	19.93281089	530.2127696	20.07600123	54.02816079	24.01349847	NA	46.26129	7.505756	622.1	10	NA	3
"219_16"	"219_16"	"2016"	19	219	"219_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	6.849316687	-1.04243508257628	0.455	39.57	7.18	5.105	8.155599667	46.67750633	67.25	10.5	0.403083171	0.986913097	4.405366667	4.79856488	38.03796494	1011.809867	27.67900168	59.75194755	NA	NA	46.29892	7.52267	723.9	31	1.6	2.4
"220-1_16"	"220.1_16"	"2016"	20	220	"220_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"chem"	2016	4.71642377	-0.108302194476631	0.235	19.37	7.34	6.435	15.61258467	36.53326367	51.75	8	0.324111555	0.677532449	4.2992	4.991807122	28.74367604	764.5817827	21.07612461	54.0219257	28.36432301	NA	46.297626	7.517252	723.9	8	1.2	2.8
"220-2_16"	"220.2_16"	"2016"	20	220	"220_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"chem"	2016	4.71642377	-0.108302194476631	0.235	19.37	7.34	6.435	15.61258467	36.53326367	51.75	8	0.324111555	0.677532449	4.2992	4.991807122	28.74367604	764.5817827	21.07612461	54.0219257	28.36432301	NA	46.297626	7.517252	723.9	8	1.2	2.8
"221_16"	"221_16"	"2016"	21	221	"221_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	5.000884514	1.188105539255	0.185	46.94	7.36	6.8	7.727729333	56.64980033	5.5	3.5	0.046509288	0.131834849	1.449033333	2.593148446	12.63378074	336.0585676	18.4290089	55.96830707	35.58632689	NA	46.297439	7.515724	751.4	12	1.2	2.8
"222_16"	"222_16"	"2016"	22	222	"222_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	11.33322041	0.333422307579422	0.505	53.52	7.06	8.71	7.014622667	47.40319933	2	1	0.017464171	0.050606067	0.2322	4.260031278	19.26661645	512.4919974	25.98172627	67.20647127	32.87282279	NA	46.28534	7.51514	555.1	30	2.8	2.8
"223_16"	"223_16"	"2016"	23	223	"223_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	5.575845618	-0.0699581274284269	0.275	41.46	7.25	6.76	4.848473667	63.28948467	60	11.5	0.364738519	0.89008836	4.291033333	3.575783732	24.48750402	651.367607	18.16592726	60.57790447	25.56921342	NA	46.253698	7.401872	616.7	19	2.333333333	2.333333333
"224-1_16"	"224.1_16"	"2016"	24	224	"224_16"	"AC"	"altg"	"Chasselas"	2	2	"green"	"chem"	2016	4.961033373	-0.865552120697886	0.31	120.9	7.2	5.13	9.0179765	35.95442283	41.5	6.5	0.278490301	0.631268312	3.376366667	4.081488336	25.26912672	672.1587707	19.67859035	64.60736282	21.4882132	NA	46.25362	7.40484	601.3	9	1.2	2
"224-2_16"	"224.2_16"	"2016"	24	224	"224_16"	"AC"	"altg"	"Chasselas"	2	2	"green"	"chem"	2016	4.961033373	-0.865552120697886	0.31	120.9	7.2	5.13	9.0179765	35.95442283	41.5	6.5	0.278490301	0.631268312	3.376366667	4.081488336	25.26912672	672.1587707	19.67859035	64.60736282	21.4882132	NA	46.25362	7.40484	601.3	9	1.2	2
"225_16"	"225_16"	"2016"	25	225	"225_16"	"aa_BG"	"aa_bare"	"Chasselas"	4	3	"no"	"chem"	2016	3.550881152	-0.696912073272831	0.21	69.53	7.28	4.385	8.742435667	36.79045633	15	6	0.111751234	0.269925884	2.1187	2.540478415	11.55405053	307.3377442	17.47130791	57.97904412	22.71697601	NA	46.25344	7.40468	595.9	32	1.2	2
"227_16"	"227_16"	"2016"	27	227	"227_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	9.233984154	0.297770426852519	0.415	228.1	7.14	9.835	5.966496667	46.564867	40	9.5	0.269504795	0.642051764	2.355533333	6.002876342	32.32496943	859.8441867	28.63238383	65.30714192	NA	NA	46.1894	7.2303	519.6	10	2.5	2.5
"228-1_16"	"228.1_16"	"2016"	28	228	"228_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"chem"	2016	12.64678007	0.436235770362323	0.55	468	6.95	11.395	4.1850645	56.82759483	48.5	9	0.308866355	0.728798455	2.8782	7.660439097	38.24277051	1017.257695	32.69170694	59.94193416	32.44982617	NA	46.19415	7.23142	546.4	4	0.666666667	2.333333333
"228-2_16"	"228.2_16"	"2016"	28	228	"228_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"chem"	2016	12.64678007	0.436235770362323	0.55	468	6.95	11.395	4.1850645	56.82759483	48.5	9	0.308866355	0.728798455	2.8782	7.660439097	38.24277051	1017.257695	32.69170694	59.94193416	32.44982617	NA	46.19415	7.23142	546.4	4	0.666666667	2.333333333
"230_16"	"230_16"	"2016"	30	230	"230_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	5.5298	-0.469445211798553	0.305	45.93	6.79	3.215	4.390397667	22.63343	40	6.5	0.248192388	0.600639452	3.972533333	3.566485175	27.69614566	736.7174745	19.22656277	53.69219921	27.78594707	NA	46.252922	7.469382	540.1	22	1.142857143	2
"231_16"	"231_16"	"2016"	31	231	"231_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	6.0372	-2.56078514955156	0.875	70.47	5.48	3.51	5.094843667	15.29396667	1.25	2	0.010688199	0.036862789	0.3547	2.71118226	8.014762161	213.1926735	25.94666103	63.96090924	23.18598355	NA	46.25281	7.46833	541.9	31	1.2	2.4
"232-2_16"	"232.2_16"	"2016"	32	232	"232_16"	"AC"	"altg"	"Chasselas"	2	2	"green"	"chem"	2016	10.83490564	0.540515138143365	0.46	520.1	6.91	11.165	2.921489889	67.95855611	52.5	8.5	0.326094277	0.769353601	2.9762	6.291818252	37.60347594	1000.25246	28.77028645	57.73773717	29.92107454	NA	46.19415	7.23142	546.6	3	0.666666667	2.333333333
"233-1_16"	"233.1_16"	"2016"	33	233	"233_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"chem"	2016	14.05784082	-0.378355802132415	0.755	47.98	7.27	12.415	6.937083167	46.97681667	33	8.5	0.219737415	0.536796331	1.9962	6.532518669	34.67379752	922.3230141	29.93604227	54.70133644	36.74222701	NA	46.29496	7.540889	569.7	7	NA	2.3
"233-2_16"	"233.2_16"	"2016"	33	233	"233_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"chem"	2016	14.05784082	-0.378355802132415	0.755	47.98	7.27	12.415	6.937083167	46.97681667	33	8.5	0.219737415	0.536796331	1.9962	6.532518669	34.67379752	922.3230141	29.93604227	54.70133644	36.74222701	NA	46.29496	7.540889	569.7	7	NA	2.3
